SP/SM,Num SM,Cluster ID,Data (Transfer) Size (in Bytes),Ratio of Global Access,Ratio of FP Instructions,Ratio of Branch Inst,Num Blocks,Num Threads,Speedup,Application Name,PCIe Bandwidth
64,68,2,81920000,0.02,0.34,0.03,100,1024,1538.461538,Matmul,4
64,68,2,327680000,0.02,0.34,0.03,200,1024,1536,Matmul,4
64,68,2,2048000000,0.02,0.34,0.03,500,1024,1558.927458,Matmul,4
64,80,3,20480000,0.02,0.34,0.03,50,1024,7500,Matmul,4
64,80,3,81920000,0.02,0.34,0.03,100,1024,6315.789474,Matmul,4
64,80,3,327680000,0.02,0.34,0.03,200,1024,6760.56338,Matmul,4
64,80,3,2048000000,0.02,0.34,0.03,500,1024,6768.953069,Matmul,4
128,24,4,20480000,0.02,0.34,0.03,50,1024,1666.666667,Matmul,15.75
128,24,4,81920000,0.02,0.34,0.03,100,1024,1690.140845,Matmul,15.75
128,24,4,327680000,0.02,0.34,0.03,200,1024,1825.095057,Matmul,15.75
128,24,4,2048000000,0.02,0.34,0.03,500,1024,1811.375438,Matmul,15.75
192,15,1,20480000,0.02,0.34,0.03,50,1024,9375,Matmul,4
192,15,1,81920000,0.02,0.34,0.03,100,1024,895.5223881,Matmul,4
192,15,1,327680000,0.02,0.34,0.03,200,1024,894.6877912,Matmul,4
192,15,1,2048000000,0.02,0.34,0.03,500,1024,891.6894543,Matmul,4
192,15,5,4000000,0.11,0,0,21204,1,0.022846154,QuickSort,15.75
192,15,5,400000,0.11,0,0,6483,1,0.087260035,QuickSort,15.75
192,15,5,40000,0.11,0,0,1020,1,0.037681159,QuickSort,15.75
192,15,5,4000,0.11,0,0,118,1,0.041401274,QuickSort,15.75
128,24,4,4000000,0.11,0,0,21204,1,0.040684932,QuickSort,15.75
128,24,4,400000,0.11,0,0,6483,1,0.028344671,QuickSort,15.75
128,24,4,40000,0.11,0,0,1020,1,0.008891929,QuickSort,15.75
128,24,4,4000,0.11,0,0,118,1,0.009651076,QuickSort,15.75
64,80,3,4000000,0.11,0,0,21204,1,0.05702765,QuickSort,4
64,80,3,400000,0.11,0,0,6483,1,0.018511662,QuickSort,4
64,80,3,40000,0.11,0,0,1020,1,0.004841713,QuickSort,4
64,80,3,4000,0.11,0,0,118,1,0.004900113,QuickSort,4
64,68,2,4000000,0.11,0,0,21204,1,0.106071429,QuickSort,4
64,68,2,400000,0.11,0,0,6483,1,0.197628458,QuickSort,4
64,68,2,40000,0.11,0,0,1020,1,0.068421053,QuickSort,4
64,68,2,4000,0.11,0,0,118,1,0.07027027,QuickSort,4
192,15,1,4000000,0.11,0,0,21204,1,0.017930452,QuickSort,4
192,15,1,400000,0.11,0,0,6483,1,0.114678899,QuickSort,4
192,15,1,40000,0.11,0,0,1020,1,0.055793991,QuickSort,4
192,15,1,4000,0.11,0,0,118,1,0.064039409,QuickSort,4
128,24,4,40000,0.11,0,0,1020,1,0.008891929,QuickSort,15.75
128,24,4,4000,0.11,0,0,118,1,0.009651076,QuickSort,15.75
64,80,3,4000000,0.11,0,0,21204,1,0.05702765,QuickSort,4
64,80,3,400000,0.11,0,0,6483,1,0.018511662,QuickSort,4
64,80,3,40000,0.11,0,0,1020,1,0.004841713,QuickSort,4
64,80,3,4000,0.11,0,0,118,1,0.004900113,QuickSort,4
64,68,2,4000000,0.11,0,0,21204,1,0.106071429,QuickSort,4
64,68,2,400000,0.11,0,0,6483,1,0.197628458,QuickSort,4
64,68,2,40000,0.11,0,0,1020,1,0.068421053,QuickSort,4
64,68,2,4000,0.11,0,0,118,1,0.07027027,QuickSort,4
192,15,1,4000000,0.11,0,0,21204,1,0.017930452,QuickSort,4
192,15,1,400000,0.11,0,0,6483,1,0.114678899,QuickSort,4
192,15,1,40000,0.11,0,0,1020,1,0.055793991,QuickSort,4
192,15,1,4000,0.11,0,0,118,1,0.064039409,QuickSort,4
